Upper Burtuk,Gangtok H.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Burtuk,Gangtok Bazar S.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Sicheygaon,Sichey Gaon S.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Gangtok Private Estate,Gangtok H.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Gangtok,Gangtok H.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Upper Sicheygaon,Sichey Gaon S.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Gangtok Forest Block,Gangtok H.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Gangtok Private Estate (Arithang),Gangtok H.O,737101,Gangtok,EAST SIKKIM,SIKKIM
Barbing,Dhajey B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Naitam,Pabyiok B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Gnathang,Gnathang B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Lingdum,Lingdum B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Samdur,Tadong S.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Kyongnosla Forest Block,Kyanglasha B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Tadong,Tadong S.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Nandok,Pabyiok B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Rongli Forest Block,Kupup B.O,737102,Rongli,EAST SIKKIM,SIKKIM
Rongli Forest Block,Sherathang B.O,737102,Rongli,EAST SIKKIM,SIKKIM
Ranka,Dhajey B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Rongli Forest Block,Kyanglasha B.O,737102,Rongli,EAST SIKKIM,SIKKIM
Samdur,Samdur B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Lingdong,Lingdum B.O,737102,Ravong,SOUTH SIKKIM,SIKKIM
Parbing,Dhajey B.O,737102,Gangtok,EAST SIKKIM,SIKKIM
Lingdok,Lingdok B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Rongyek,Rajbhawan S.O (East Sikkim),737103,Gangtok,EAST SIKKIM,SIKKIM
Sicheygaon,Bojoghari B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Luing,Luing B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Pam,Penlong B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Penlong,Penlong B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Upper Chandmari,Rajbhawan S.O (East Sikkim),737103,Gangtok,EAST SIKKIM,SIKKIM
Upper Tathangchen,Rajbhawan S.O (East Sikkim),737103,Gangtok,EAST SIKKIM,SIKKIM
Chandmari,Rajbhawan S.O (East Sikkim),737103,Gangtok,EAST SIKKIM,SIKKIM
Nampong,Lingdok B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Navey,Penlong B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Pangthang Forest Block,Penlong B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Bhusuk,Bhusuk B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Tathangchen,Rajbhawan S.O (East Sikkim),737103,Gangtok,EAST SIKKIM,SIKKIM
Shotak,Penlong B.O,737103,Gangtok,EAST SIKKIM,SIKKIM
Changey Senti (Tsaney),Changayshanti B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Linkey,Linkey B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Pacheykhani (Losing),Pacheykhani B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Pakyong Forest Block,Pakyong S.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Pacheykhani (Dikling),Karthok B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Tshalumthang,Tshalamthang B.O,737106,Namchi,SOUTH SIKKIM,SIKKIM
Chhota Singtam,Namcheybong B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Dikling,Pakyong S.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Pachey,Namcheybong B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Yangtam,Changayshanti B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Machong,Linkey B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Pachak,Pacheykhani B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Tshalumthang,Pacheykhani B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Namchey-Bung,Namcheybong B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Riwa,Linkey B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Thekabung,Linkey B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Biring,Bering B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Kamarey Bhasmey,Pacheykhani B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Kartok,Karthok B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Losing,Pacheykhani B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Pakyong,Pakyong S.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Tarethang,Bering B.O,737106,Pakyong,EAST SIKKIM,SIKKIM
Gor,Gor B.O,737107,Mangan,NORTH SIKKIM,SIKKIM
Namok,Dikchu S.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Samdong,Samdong B.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Kambal,Samdong B.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Lum,Lumlingthyang B.O,737107,Mangan,NORTH SIKKIM,SIKKIM
Rakdong,Rakdong B.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Sangtok,Gor B.O,737107,Mangan,NORTH SIKKIM,SIKKIM
Mangan,Dikchu S.O,737107,Mangan,NORTH SIKKIM,SIKKIM
Namlung,Raley Khesey B.O,737107,Ravong,SOUTH SIKKIM,SIKKIM
Raley-Khese,Raley Khesey B.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Tintek,Rakdong B.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Rapdang,Dikchu S.O,737107,Gangtok,EAST SIKKIM,SIKKIM
Arithang,Arithang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gayten,Lingchom B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Jeel,Rinchenpong B.O,737111,Soreng,WEST SIKKIM,SIKKIM
Kongri,Karjee B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Labing,Gerathang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Mangnam,Karjee B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Bhaluthang,Bhaluthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Sinek B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Rinchenpong,Rinchenpong B.O,737111,Soreng,WEST SIKKIM,SIKKIM
Sapong,Lingchom B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Umchung,Gayzing S.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing,Gayzing S.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Lingchom,Lingchom B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Tashiding,Tashiding B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gangyep,Arithang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Hathidunga,Rinchenpong B.O,737111,Soreng,WEST SIKKIM,SIKKIM
Lungzik,Lingchom B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Yangten,Yangtey B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Narkhola,Karjee B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Tashiding Forest Block,Sinek B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Unglok,Bhaluthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Yangten,Yangthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Chingthang,Chingthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Chongrang,Arithang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Karjee B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Hingdam,Rangship B.O,737111,Ravong,SOUTH SIKKIM,SIKKIM
Likship,Legship B.O,737111,Ravong,SOUTH SIKKIM,SIKKIM
Sangadorji,Rinchenpong B.O,737111,Soreng,WEST SIKKIM,SIKKIM
Tikjya,Yangthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Barphok,Rinchenpong B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing,Rangship B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Gayzing S.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Labdang,Karjee B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Miyong,Chingthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Yangthang,Yangthang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Chongpung,Arithang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Gerethang,Gerathang B.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Kyonsda,Gayzing S.O,737111,Gyalshing,WEST SIKKIM,SIKKIM
Bum,Mechi Aching B.O,737113,Soreng,WEST SIKKIM,SIKKIM
Chuchen,Rimbi B.O,737113,Soreng,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Bermiok B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Rimbi B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Pecherek,Hee Gaon B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Sardong,Kaluk B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Singrangpung,Darap B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Sopakha,Uttarey B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Tingbrum,Rimbi B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Dentam,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Laso,Thingling B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Mangmo,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Pemayangtse Monastery,Pelling S.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Singyang,Pelling S.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Tadong,Kaluk B.O,737113,Soreng,WEST SIKKIM,SIKKIM
Martam,Bermiok B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Sangkhu,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Singlitam,Namphu B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Barthang,Bermiok B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Begha,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Chota Samdong (Sumdong),Kaluk B.O,737113,Soreng,WEST SIKKIM,SIKKIM
Darap,Darap B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Karmatar,Karmatar B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Nambu,Namphu B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Bangten,Karmatar B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Bara-Samdong,Kaluk B.O,737113,Soreng,WEST SIKKIM,SIKKIM
Dentam Forest Block,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Dubdi,Yuksom B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing,Pelling S.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Kaluk B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Lingzo,Thingling B.O,737113,Ravong,SOUTH SIKKIM,SIKKIM
Tokal,Bermiok B.O,737113,Namchi,SOUTH SIKKIM,SIKKIM
Tsozo,Khechuperi B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Yuksam Forest Block,Yuksom B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Dhupidara,Mechi Aching B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Doring,Bermiok B.O,737113,Namchi,SOUTH SIKKIM,SIKKIM
Gyalshing Forest Block,Uttarey B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Hee,Hee Gaon B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Naku,Pelling S.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Thingle I,Thingling B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Tshalumthang,Bermiok B.O,737113,Gangtok,EAST SIKKIM,SIKKIM
Yuksam,Yuksom B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Hee-Patal,Hee Gaon B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Khachodpalri,Khechuperi B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Liching,Karmatar B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Melliaching,Mechi Aching B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Mengyong,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Radu-Khandu,Radhu Khandu B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Deythang,Uttarey B.O,737113,Soreng,WEST SIKKIM,SIKKIM
Maneybung,Yuksom B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Meli,Mechi Aching B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Pajer,Bermiok B.O,737113,Namchi,SOUTH SIKKIM,SIKKIM
Sindrang,Darap B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Srinagi,Dentam B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Thingle II,Thingling B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Topung,Rimbi B.O,737113,Gyalshing,WEST SIKKIM,SIKKIM
Chawang,Phamtam B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Gnon-Samdong,Lower Dzongu B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Nampatam,Rangrang B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Pakshep,Mangan S.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Rongong,Men Rong Rong B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Sakyong-Pentong,Lingthem B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Sheyam,Namok B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Upper Dzongu Forest Block,Tingvong B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
L. Mangshila,Manul B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Mangan,Mangan S.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Mangan Forest Block,Mangan S.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Phamtam,Phamtam B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Singhik,Singhik B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Men-Rongong,Men Rong Rong B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Meyong,Manul B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Singchit,Manul B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Zimchung,Mangan S.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Lingdong,Sangkalan B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Sentam,Singhik B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Tingbong,Tingvong B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
U. Mangshila,Tingchim B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Hee-Gyathang,Lower Dzongu B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
L. Mangshila,Tingchim B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Labi,Namok B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Lingdem,Lingthem B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Mangan Forest Block,Sangkalan B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Namok,Namok B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Ramthang,Ramthang B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Barfok,Sangkalan B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Kazor,Mangan S.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Mangan Forest Block,Rangrang B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Ringhim,Mangan S.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Tangyek,Lower Dzongu B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Tingchim,Tingchim B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Lingthem,Lingdem B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Lingzah-Tolung,Tingvong B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Salim Pakel,Singhik B.O,737116,Mangan,NORTH SIKKIM,SIKKIM
Kabi Forest Block,Kabi S.O,737117,Mangan,NORTH SIKKIM,SIKKIM
Kabi,Kabi S.O,737117,Mangan,NORTH SIKKIM,SIKKIM
Tingda,Kabi S.O,737117,Mangan,NORTH SIKKIM,SIKKIM
Paney-Phensong,Phensong S.O,737118,Mangan,NORTH SIKKIM,SIKKIM
Tumlong,Phudong S.O,737119,Mangan,NORTH SIKKIM,SIKKIM
Phodong,Phudong S.O,737119,Mangan,NORTH SIKKIM,SIKKIM
Phodong Forest Block,Phudong S.O,737119,Mangan,NORTH SIKKIM,SIKKIM
Chungthang,Chungthang S.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Lachen,Lachen B.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Tung,Shipgyare B.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Chungthang Forest Block,Chungthang S.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Naga-Namgor,Naga B.O,737120,Mangan,NORTH SIKKIM,SIKKIM
Lachung,Lachung B.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Shipgyer,Shipgyare B.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Naga Forest Block,Naga B.O,737120,Mangan,NORTH SIKKIM,SIKKIM
Lachung Forest Block,Lachung B.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Lachen Forest Block,Lachen B.O,737120,Chungthang,NORTH SIKKIM,SIKKIM
Dhalam(Daramden),Sanchabarey Daramdim B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Karthok,Tharpu B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Parrengaon,Takuthang B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Ribdi,Okharey B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Rishi,Reshi B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Longchok,Sanchabarey Daramdim B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Lower Fambong,Sombaria B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Majhitar Forest Block,Majitar B.O,737121,Namchi,SOUTH SIKKIM,SIKKIM
Rabong,Sombaria B.O,737121,Ravong,SOUTH SIKKIM,SIKKIM
Bhareng,Okharey B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Mabong,Takuthang B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Mendo-Gaon,Chakung B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Siktam,Tikpur B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Soreng Forest Block,Soreng B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Tharpu,Tharpu B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Tinzerbong,Timburbong B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Donok,Buriakhop B.O,737121,Namchi,SOUTH SIKKIM,SIKKIM
Geling,Chakung B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Gyalshing Forest Block,Ribdi-bhareng B.O,737121,Gyalshing,WEST SIKKIM,SIKKIM
Namchi,Budang B.O,737121,Namchi,SOUTH SIKKIM,SIKKIM
Saleumbong,Sombaria B.O,737121,Namchi,SOUTH SIKKIM,SIKKIM
Samsing,Zoom B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Kamling,Reshi B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Khanisherbung,Arubotay B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Salyangdang,Sombaria B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Singling,Soreng B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Suldung,Suldung B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Upper Fambong,Sombaria B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Nayabazar Forest Block,Naya Bazar S.O (West Sikkim),737121,Soreng,WEST SIKKIM,SIKKIM
Sanghanath,Sanganath B.O,737121,Ravong,SOUTH SIKKIM,SIKKIM
Soreng,Soreng B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Soreng Forest Block,Pipalay B.O,737121,Soreng,WEST SIKKIM,SIKKIM
Burikhop(Dodok),Buriakhop B.O,737121,Soreng,WEST SIKKIM,SIKKIM
